id,lat_start,lon_start,id_end,lat_end,lon_end
10777610331,37.8800267,-122.2614108,53081605,37.8800057,-122.2614068
53081605,37.8800057,-122.2614068,10777610329,37.8799352,-122.2613881
10777610329,37.8799352,-122.2613881,10777610351,37.8799237,-122.2613851
10777610351,37.8799237,-122.2613851,239511788,37.8798417,-122.2613569
239511788,37.8798417,-122.2613569,407681502,37.8797591,-122.2613088
407681502,37.8797591,-122.2613088,339928534,37.8797169,-122.2612758
339928534,37.8797169,-122.2612758,6975590859,37.8795997,-122.2611668
6975590859,37.8795997,-122.2611668,4294292355,37.8795237,-122.2611084
4294292355,37.8795237,-122.2611084,53149317,37.8794662,-122.2610731
239511799,37.8803175,-122.2601713,239511805,37.8802898,-122.260081
239511805,37.8802898,-122.260081,339928525,37.8802986,-122.2599811
339928525,37.8802986,-122.2599811,53157265,37.8803241,-122.2598715
53157265,37.8803241,-122.2598715,11085046502,37.8804446,-122.2595402
11085046502,37.8804446,-122.2595402,317112684,37.8805545,-122.2592382
317112684,37.8805545,-122.2592382,239511794,37.8805664,-122.2591598
239511794,37.8805664,-122.2591598,317112679,37.8805588,-122.259076
317112679,37.8805588,-122.259076,317112680,37.8805325,-122.2590014
317112680,37.8805325,-122.2590014,59805943,37.8804977,-122.2589598
59794830,37.8790258,-122.264471,11865812613,37.8789636,-122.2644646
11865812613,37.8789636,-122.2644646,8417814496,37.8789485,-122.264463
8417814496,37.8789485,-122.264463,7916648132,37.8782506,-122.2643821
7916648132,37.8782506,-122.2643821,53062885,37.8781797,-122.2643745
53062885,37.8781797,-122.2643745,8417814499,37.8778329,-122.264335
8417814499,37.8778329,-122.264335,239511746,37.8775835,-122.2643075
53082209,37.8823335,-122.26729,4238980123,37.8822716,-122.2672814
4238980123,37.8822716,-122.2672814,6975320846,37.8821223,-122.2672631
6975320846,37.8821223,-122.2672631,6975320847,37.8820919,-122.2672597
6975320847,37.8820919,-122.2672597,5483072368,37.8818884,-122.267237
5483072368,37.8818884,-122.267237,4238980098,37.8805788,-122.2670905
4238980098,37.8805788,-122.2670905,53115327,37.8805156,-122.2670835
53115327,37.8805156,-122.2670835,4238980095,37.8804487,-122.2670757
4238980095,37.8804487,-122.2670757,6937913017,37.8803608,-122.2670655
6937913017,37.8803608,-122.2670655,6937913016,37.8803307,-122.2670621
6937913016,37.8803307,-122.2670621,5483072362,37.8797619,-122.2669963
5483072362,37.8797619,-122.2669963,5483072365,37.8794143,-122.2669559
5483072365,37.8794143,-122.2669559,4188788140,37.87878,-122.2668824
4188788140,37.87878,-122.2668824,53115329,37.8787099,-122.2668745
53115329,37.8787099,-122.2668745,4188788126,37.87864,-122.2668671
4188788126,37.87864,-122.2668671,6937913014,37.87863,-122.266866
6937913014,37.87863,-122.266866,6937913015,37.8784505,-122.2668455
6937913015,37.8784505,-122.2668455,2196215671,37.8784335,-122.2668436
2196215671,37.8784335,-122.2668436,5483072358,37.8773233,-122.2667172
5483072358,37.8773233,-122.2667172,5483072361,37.8772131,-122.2667047
5483072361,37.8772131,-122.2667047,4188788133,37.8769532,-122.2666751
4188788133,37.8769532,-122.2666751,53091870,37.8768891,-122.2666699
53091870,37.8768891,-122.2666699,4188788110,37.8768179,-122.2666641
4188788110,37.8768179,-122.2666641,6937913013,37.8767673,-122.26666
6937913013,37.8767673,-122.26666,6937913012,37.8764343,-122.2666229
6937913012,37.8764343,-122.2666229,5483224062,37.8760227,-122.2665783
5483224062,37.8760227,-122.2665783,532751136,37.8755836,-122.2665287
532751136,37.8755836,-122.2665287,239616684,37.8750666,-122.2664627
239616684,37.8750666,-122.2664627,314077164,37.8746012,-122.2663942
239500944,37.8806674,-122.265907,4295642344,37.8806728,-122.2658608
4295642344,37.8806728,-122.2658608,8417814485,37.8806747,-122.2658447
8417814485,37.8806747,-122.2658447,2976013636,37.8807345,-122.2653754
2976013636,37.8807345,-122.2653754,8417814486,37.8807919,-122.2649502
8417814486,37.8807919,-122.2649502,8417814490,37.8807966,-122.2649152
8417814490,37.8807966,-122.2649152,53146430,37.8808075,-122.2648333
53146430,37.8808075,-122.2648333,8417814492,37.8808186,-122.2647494
8417814492,37.8808186,-122.2647494,8417814488,37.8808218,-122.2647248
8417814488,37.8808218,-122.2647248,8417814494,37.8809415,-122.2638156
8417814494,37.8809415,-122.2638156,53059193,37.8809519,-122.263679
53059193,37.8809519,-122.263679,10696546912,37.8809579,-122.263601
10696546912,37.8809579,-122.263601,269301286,37.880985,-122.2633753
269301286,37.880985,-122.2633753,269301290,37.8810132,-122.2632485
269301290,37.8810132,-122.2632485,269301289,37.881058,-122.2631366
269301289,37.881058,-122.2631366,239527314,37.8810859,-122.2630181
239527314,37.8810859,-122.2630181,239527308,37.8810794,-122.2627528
239527308,37.8810794,-122.2627528,4295642350,37.8810729,-122.2626444
4295642350,37.8810729,-122.2626444,53026098,37.8810814,-122.2625663
239500939,37.8806192,-122.2659555,4295642341,37.8805875,-122.2659518
4295642341,37.8805875,-122.2659518,8417814484,37.880571,-122.2659498
8417814484,37.880571,-122.2659498,2976013633,37.8802442,-122.2659048
2976013633,37.8802442,-122.2659048,5483072366,37.879822,-122.2658633
5483072366,37.879822,-122.2658633,4294292349,37.8789237,-122.2657627
4294292349,37.8789237,-122.2657627,53075887,37.8788598,-122.2657529
239500922,37.8807059,-122.2659658,1762728668,37.8807024,-122.2659838
1762728668,37.8807024,-122.2659838,1706509026,37.8806945,-122.2659993
1706509026,37.8806945,-122.2659993,1762728666,37.880683,-122.2660106
1762728666,37.880683,-122.2660106,1706509025,37.8806691,-122.2660164
1706509025,37.8806691,-122.2660164,239500928,37.8806546,-122.2660162
239500928,37.8806546,-122.2660162,1762728663,37.8806422,-122.2660108
1762728663,37.8806422,-122.2660108,1706509023,37.8806317,-122.266001
1706509023,37.8806317,-122.266001,1762728662,37.8806239,-122.2659877
1762728662,37.8806239,-122.2659877,1762728659,37.8806196,-122.2659721
1762728659,37.8806196,-122.2659721,239500939,37.8806192,-122.2659555
239500939,37.8806192,-122.2659555,1762728660,37.8806228,-122.2659389
1762728660,37.8806228,-122.2659389,1762728661,37.8806304,-122.2659246
1762728661,37.8806304,-122.2659246,1706509024,37.880641,-122.2659138
1706509024,37.880641,-122.2659138,1762728664,37.8806538,-122.2659078
1762728664,37.8806538,-122.2659078,239500944,37.8806674,-122.265907
239500944,37.8806674,-122.265907,1762728665,37.8806802,-122.2659115
1762728665,37.8806802,-122.2659115,1762728667,37.8806913,-122.2659206
1762728667,37.8806913,-122.2659206,1706509027,37.8806998,-122.2659335
1706509027,37.8806998,-122.2659335,1706509028,37.8807048,-122.2659491
1706509028,37.8807048,-122.2659491,239500922,37.8807059,-122.2659658
53075888,37.8774548,-122.2655749,4294292331,37.8775347,-122.2654947
4294292331,37.8775347,-122.2654947,339928541,37.8775746,-122.265442
339928541,37.8775746,-122.265442,2196215661,37.8776619,-122.2653011
2196215661,37.8776619,-122.2653011,59794837,37.8777134,-122.2651816
59794837,37.8777134,-122.2651816,239511753,37.8777528,-122.2650334
239511753,37.8777528,-122.2650334,2196215664,37.877762,-122.2649415
2196215664,37.877762,-122.2649415,339928540,37.8777633,-122.264824
339928540,37.8777633,-122.264824,2196215663,37.8777528,-122.2647299
2196215663,37.8777528,-122.2647299,280430367,37.8777368,-122.2646575
280430367,37.8777368,-122.2646575,2196215662,37.8776993,-122.2645408
2196215662,37.8776993,-122.2645408,59794833,37.8776588,-122.264434
59794833,37.8776588,-122.264434,4294292333,37.8776345,-122.2643935
4294292333,37.8776345,-122.2643935,239511746,37.8775835,-122.2643075
53091823,37.8773772,-122.2642848,4294292330,37.8773646,-122.2641258
4294292330,37.8773646,-122.2641258,8417814498,37.8773621,-122.2640941
8417814498,37.8773621,-122.2640941,2196215659,37.8773566,-122.2640256
2196215659,37.8773566,-122.2640256,8417814501,37.8775157,-122.2628132
8417814501,37.8775157,-122.2628132,53059199,37.8775293,-122.2627103
53059199,37.8775293,-122.2627103,8417814502,37.8775414,-122.2626175
8417814502,37.8775414,-122.2626175,5483072340,37.8776857,-122.2615164
5483072340,37.8776857,-122.2615164,4294292335,37.8777806,-122.2607924
4294292335,37.8777806,-122.2607924,53091826,37.8777912,-122.2607118
53075885,37.8824802,-122.2661666,4295642357,37.8824176,-122.2661587
4295642357,37.8824176,-122.2661587,8417814482,37.8807545,-122.2659716
8417814482,37.8807545,-122.2659716,4295642346,37.8807357,-122.2659693
4295642346,37.8807357,-122.2659693,239500922,37.8807059,-122.2659658
263569418,37.8754682,-122.2779998,263569419,37.8754548,-122.2779574
263569419,37.8754548,-122.2779574,263569414,37.875457,-122.2779104
263569414,37.875457,-122.2779104,53040930,37.8755864,-122.2769095
53040930,37.8755864,-122.2769095,53091860,37.8757303,-122.2757833
53091860,37.8757303,-122.2757833,5483224264,37.8758467,-122.2748616
5483224264,37.8758467,-122.2748616,53089415,37.875875,-122.2746507
53089415,37.875875,-122.2746507,2283661454,37.8760038,-122.2736282
2283661454,37.8760038,-122.2736282,4226425316,37.8760067,-122.2736019
4226425316,37.8760067,-122.2736019,53091861,37.8760157,-122.2735227
53091861,37.8760157,-122.2735227,4226425317,37.8760256,-122.2734313
4226425317,37.8760256,-122.2734313,2283661455,37.8760279,-122.2734106
2283661455,37.8760279,-122.2734106,53091864,37.8761671,-122.2723602
53091864,37.8761671,-122.2723602,4238979951,37.8762961,-122.2713207
4238979951,37.8762961,-122.2713207,53091865,37.8763057,-122.271245
53091865,37.8763057,-122.271245,4238979952,37.876318,-122.271147
4238979952,37.876318,-122.271147,5401099322,37.876487,-122.2697943
5401099322,37.876487,-122.2697943,1946206533,37.8765223,-122.2695231
1946206533,37.8765223,-122.2695231,1946206538,37.8765409,-122.26938
1946206538,37.8765409,-122.26938,2880800581,37.8765789,-122.2690878
2880800581,37.8765789,-122.2690878,2281374237,37.8765807,-122.2690748
2281374237,37.8765807,-122.2690748,2880800587,37.8765837,-122.2690529
2880800587,37.8765837,-122.2690529,239617010,37.8765963,-122.2689605
239617010,37.8765963,-122.2689605,53091866,37.8766114,-122.268848
53091866,37.8766114,-122.268848,2880800569,37.8766241,-122.2687534
2880800569,37.8766241,-122.2687534,2281374239,37.8766264,-122.2687363
2281374239,37.8766264,-122.2687363,2880800600,37.8766282,-122.2687235
2880800600,37.8766282,-122.2687235,1909337367,37.8766593,-122.2684406
1909337367,37.8766593,-122.2684406,5483072372,37.8766861,-122.2682336
5483072372,37.8766861,-122.2682336,53091869,37.876741,-122.2678124
53091869,37.876741,-122.2678124,2196215655,37.8768752,-122.2667693
2196215655,37.8768752,-122.2667693,4188788150,37.8768775,-122.2667524
4188788150,37.8768775,-122.2667524,53091870,37.8768891,-122.2666699
53091870,37.8768891,-122.2666699,4188788144,37.876901,-122.2665831
4188788144,37.876901,-122.2665831,2196215656,37.8769033,-122.2665667
2196215656,37.8769033,-122.2665667,2196215657,37.8770107,-122.2657468
2196215657,37.8770107,-122.2657468,4294292325,37.8770184,-122.2657021
4294292325,37.8770184,-122.2657021,53075889,37.8770439,-122.2656197
339928546,37.8768985,-122.2641674,532751378,37.8768642,-122.2641661
532751378,37.8768642,-122.2641661,2010173273,37.8765476,-122.2641312
2010173273,37.8765476,-122.2641312,339928547,37.8764981,-122.2641259
339928547,37.8764981,-122.2641259,339928548,37.8763245,-122.2641058
339928548,37.8763245,-122.2641058,339928549,37.8761775,-122.2640314
339928549,37.8761775,-122.2640314,339928550,37.8760676,-122.2639226
53138900,37.8803676,-122.2682083,4238980093,37.8803785,-122.2681288
4238980093,37.8803785,-122.2681288,2196215691,37.8804554,-122.2675292
2196215691,37.8804554,-122.2675292,4238980096,37.8805044,-122.2671663
4238980096,37.8805044,-122.2671663,53115327,37.8805156,-122.2670835
53115327,37.8805156,-122.2670835,4238980097,37.8805258,-122.2669988
4238980097,37.8805258,-122.2669988,8417814483,37.8806476,-122.2660759
8417814483,37.8806476,-122.2660759,4295642342,37.8806508,-122.2660478
4295642342,37.8806508,-122.2660478,239500928,37.8806546,-122.2660162
53091826,37.8777912,-122.2607118,4294292336,37.8778013,-122.2606329
4294292336,37.8778013,-122.2606329,5483072335,37.8778824,-122.2600037
5483072335,37.8778824,-122.2600037,53091828,37.8780291,-122.2588844
53091828,37.8780291,-122.2588844,239501052,37.8781744,-122.2576945
339928546,37.8768985,-122.2641674,532751350,37.8768888,-122.2641077
532751350,37.8768888,-122.2641077,532751351,37.8769481,-122.2634421
532751351,37.8769481,-122.2634421,11359856605,37.8770415,-122.262676
11359856605,37.8770415,-122.262676,532751352,37.8770496,-122.2626093
53138900,37.8803676,-122.2682083,4238980090,37.8803046,-122.2682002
4238980090,37.8803046,-122.2682002,2681821285,37.879972,-122.268164
2681821285,37.879972,-122.268164,10725133312,37.8791276,-122.2680696
10725133312,37.8791276,-122.2680696,9951841132,37.8786364,-122.2680136
9951841132,37.8786364,-122.2680136,2681821304,37.8786219,-122.2680133
2681821304,37.8786219,-122.2680133,53138903,37.8785571,-122.2680121
53138903,37.8785571,-122.2680121,9951841130,37.8784957,-122.2680108
9951841130,37.8784957,-122.2680108,3147008553,37.8784786,-122.2680104
3147008553,37.8784786,-122.2680104,5483072357,37.8770766,-122.267844
5483072357,37.8770766,-122.267844,9951841136,37.8768131,-122.2678205
9951841136,37.8768131,-122.2678205,53091869,37.876741,-122.2678124
53091869,37.876741,-122.2678124,9951841137,37.8766726,-122.2678048
9951841137,37.8766726,-122.2678048,1410740111,37.8758108,-122.267703
1410740111,37.8758108,-122.267703,1410740119,37.8755402,-122.2676707
1410740119,37.8755402,-122.2676707,4602358364,37.8754272,-122.2676578
4602358364,37.8754272,-122.2676578,53093351,37.8749314,-122.2675987
53093351,37.8749314,-122.2675987,2283661437,37.8741302,-122.2675189
2283661437,37.8741302,-122.2675189,4238979926,37.8741115,-122.2675166
4238979926,37.8741115,-122.2675166,53055194,37.8740086,-122.2675056
239511746,37.8775835,-122.2643075,53091823,37.8773772,-122.2642848
53091823,37.8773772,-122.2642848,8417814500,37.8772224,-122.2642682
8417814500,37.8772224,-122.2642682,262084705,37.8769546,-122.264241
53075888,37.8774548,-122.2655749,2196215660,37.8774055,-122.2655895
2196215660,37.8774055,-122.2655895,262084700,37.877332,-122.2656092
262084700,37.877332,-122.2656092,2196215658,37.8772503,-122.2656252
2196215658,37.8772503,-122.2656252,320401783,37.8771588,-122.2656309
